      localhos   PRTAB(31DEC16)    1555               05-MAR-2018   21:49:22               Page    1
CALSFEB27   .ELWA  .   1  Disk= 2    SN Table version   2
Title: AIPS UV DATA FILE SOLUTION TABLE
 
Created by      FRING on 05-MAR-2018 13:24:25
Last written by FRING on 05-MAR-2018 15:14:49
Ncol 26  Nrow 2222    Sort cols:
    Table has     8 keyword-value pairs:
   NO_ANT   =           52
   NO_POL   =            2
   NO_IF    =            1
   NO_NODES =            0
   MGMOD    =  1.0000000000000D+00
   APPLIED  =  F
   REVISION =           11
   SNORIGIN =            0
   Table can be written as a FITS ASCII table
 
COL. NO.       1           2          3          4         5        6        7         8        9        10       11       12
     ROW  TIME        TIME INTER  SOURCE ID  ANTENNA   SUBARRAY  FREQ ID  I.FAR.R  NODE NO.  MBDELAY  DISP 1   DDISP 1  REAL1
  NUMBER  D/HMS       D/HMS                                               RAD/M**2           SECONDS  SEC/M**2 S/S/M**2
 
     189  05:17:50.5  00:01:04.0      3         14         1        1       0.000      0       0.000    0.000    0.000   0.4440
     190  05:17:50.5  00:01:04.0      3         18         1        1       0.000      0       0.000    0.000    0.000  -0.9124
     191  05:17:50.5  00:01:04.0      3         19         1        1       0.000      0       0.000    0.000    0.000   0.1982
     192  05:17:50.5  00:01:04.0      3         20         1        1       0.000      0       0.000    0.000    0.000  -0.6792
     193  05:17:50.5  00:01:04.0      3         23         1        1       0.000      0       0.000    0.000    0.000   0.7265
     194  05:17:50.5  00:01:04.0      3         24         1        1       0.000      0       0.000    0.000    0.000  -0.2040
     195  05:17:50.5  00:01:04.0      3         25         1        1       0.000      0       0.000    0.000    0.000   0.9767
     196  05:17:50.5  00:01:04.0      3         27         1        1       0.000      0       0.000    0.000    0.000   0.9777
     197  05:17:50.5  00:01:04.0      3         51         1        1       0.000      0       0.000    0.000    0.000   1.0000
     198  05:17:50.5  00:01:04.0      3         52         1        1       0.000      0       0.000    0.000    0.000  -0.3048
     199  05:18:55.0  00:01:03.0      3          1         1        1       0.000      0       0.000    0.000    0.000   0.0945
     200  05:18:55.0  00:01:03.0      3          2         1        1       0.000      0       0.000    0.000    0.000   0.4933
     201  05:18:55.0  00:01:03.0      3          3         1        1       0.000      0       0.000    0.000    0.000  -0.9873
     202  05:18:55.0  00:01:03.0      3          4         1        1       0.000      0       0.000    0.000    0.000  -0.9941
      localhos   PRTAB(31DEC16)    1555               05-MAR-2018   21:49:22               Page    5
     ROW  TIME        TIME INTER  SOURCE ID  ANTENNA   SUBARRAY  FREQ ID  I.FAR.R  NODE NO.  MBDELAY  DISP 1   DDISP 1  REAL1
  NUMBER  D/HMS       D/HMS                                               RAD/M**2           SECONDS  SEC/M**2 S/S/M**2
 
     203  05:18:55.0  00:01:03.0      3          5         1        1       0.000      0       0.000    0.000    0.000  -0.8238
     204  05:18:55.0  00:01:03.0      3          6         1        1       0.000      0       0.000    0.000    0.000  -0.9242
     205  05:18:55.0  00:01:03.0      3          7         1        1       0.000      0       0.000    0.000    0.000   0.9654
     206  05:18:55.0  00:01:03.0      3          8         1        1       0.000      0       0.000    0.000    0.000  -0.7692
     207  05:18:55.0  00:01:03.0      3          9         1        1       0.000      0       0.000    0.000    0.000   0.9175
